arrondissement,nb_pieces,nb_chambres,surface,prix,lien,prix_mc
13,3,,63,735000,https://www.orpi.com/annonce-vente-appartement-t3-paris-13-75013-b-e0jzgf/,11666.666666666666
14,3,,52,618000,https://www.orpi.com/annonce-vente-appartement-t3-paris-14-75014-b-e1kygp/,11884.615384615385
15,2,,45,475000,https://www.orpi.com/annonce-vente-appartement-t2-paris-15-75015-b-e1lmea/,10555.555555555555
18,4,,79,925600,https://www.orpi.com/annonce-vente-appartement-t4-paris-18-75018-b-e12m3v/,11716.45569620253
17,2,,33,365000,https://www.orpi.com/annonce-vente-appartement-t2-paris-17-75017-b-e1lns5/,11060.60606060606
14,4,,78,819000,https://www.orpi.com/annonce-vente-appartement-t4-paris-14-75014-b-e1lmdu/,10500.0
18,1,,13,157500,https://www.orpi.com/annonce-vente-appartement-t1-paris-18-75018-b-e1lgpk/,12115.384615384615
11,1,,28,307400,https://www.orpi.com/annonce-vente-appartement-t1-paris-11-75011-b-e1l42j/,10978.57142857143
11,3,,72,880000,https://www.orpi.com/annonce-vente-appartement-t3-paris-11-75011-b-e1llee/,12222.222222222223
11,3,,61,682500,https://www.orpi.com/annonce-vente-appartement-t3-paris-11-75011-b-e1lj95/,11188.524590163934
19,3,,57,489000,https://www.orpi.com/annonce-vente-appartement-t3-paris-19-75019-b-e1jvbx/,8578.947368421053
19,3,,47,577500,https://www.orpi.com/annonce-vente-appartement-t3-paris-19-75019-b-e1ljss/,12287.234042553191
11,1,,26,299980,https://www.orpi.com/annonce-vente-appartement-t1-paris-11-75011-b-e1ljtz/,11537.692307692309
12,2,,44,450000,https://www.orpi.com/annonce-vente-appartement-t2-paris-12-75012-b-e1lad3/,10227.272727272728
18,1,,22,325000,https://www.orpi.com/annonce-vente-appartement-t1-paris-18-75018-b-e1li2n/,14772.727272727272
12,2,,28,305000,https://www.orpi.com/annonce-vente-appartement-t2-paris-12-75012-b-e1lgps/,10892.857142857143
