arrondissement,nb_pieces,nb_chambres,surface,prix,lien,prix_mc
18,4,2,60,540000,https://www.pap.fr/annonces/appartement-paris-18e-r426301418,9000.0
18,2,1,40,550000,https://www.pap.fr/annonces/appartement-paris-18e-75018-r432300303,13750.0
18,4,3,96,875000,https://www.pap.fr/annonces/appartement-paris-18e-75018-r430701141,9114.583333333334
18,2,1,44,790000,https://www.pap.fr/annonces/appartement-paris-18e-r428700711,17954.545454545456
18,4,3,71,649000,https://www.pap.fr/annonces/appartement-paris-18e-75018-r431201486,9140.845070422536
18,3,2,43,510000,https://www.pap.fr/annonces/appartement-paris-18e-75018-r432501539,11860.46511627907
18,3,2,66,695000,https://www.pap.fr/annonces/appartement-paris-18e-r427500487,10530.30303030303
18,1,1,37,365000,https://www.pap.fr/annonces/appartement-paris-18e-75018-r432200416,9864.864864864865
18,2,1,19,240000,https://www.pap.fr/annonces/appartement-paris-18e-75018-r432401311,12631.578947368422
18,1,0,18,170000,https://www.pap.fr/annonces/appartement-paris-18e-75018-r432701285,9444.444444444445
18,1,0,9,99950,https://www.pap.fr/annonces/appartement-paris-18e-r432300693,11105.555555555555
18,1,0,31,399000,https://www.pap.fr/annonces/appartement-paris-18e-75018-r430000885,12870.967741935483
18,2,1,38,520000,https://www.pap.fr/annonces/appartement-paris-18e-75018-r432700848,13684.21052631579
18,4,2,108,1195000,https://www.pap.fr/annonces/appartement-paris-18e-75018-r431100621,11064.814814814816
18,5,4,134,1308000,https://www.pap.fr/annonces/appartement-paris-18e-r426500411,9761.194029850747
18,2,1,46,450000,https://www.pap.fr/annonces/appartement-paris-18e-r428300511,9782.608695652174
18,4,3,88,1008000,https://www.pap.fr/annonces/appartement-paris-18e-75018-r432700131,11454.545454545454
18,1,0,16,212000,https://www.pap.fr/annonces/appartement-paris-18e-75018-r432700558,13250.0
18,2,1,37,309000,https://www.pap.fr/annonces/appartement-paris-18e-75018-r432400089,8351.351351351352
18,1,0,25,270000,https://www.pap.fr/annonces/appartement-paris-18e-75018-r432603117,10800.0
18,1,0,27,349000,https://www.pap.fr/annonces/appartement-paris-18e-75018-r432700012,12925.925925925925
18,2,1,53,620000,https://www.pap.fr/annonces/appartement-paris-18e-75018-r432700060,11698.11320754717
18,3,2,46,580000,https://www.pap.fr/annonces/appartement-paris-18e-75018-r432700215,12608.695652173914
18,2,1,30,375000,https://www.pap.fr/annonces/appartement-paris-18e-75018-r432101296,12500.0
18,2,1,45,554000,https://www.pap.fr/annonces/appartement-paris-18e-75018-r431102250,12311.111111111111
18,1,0,18,156000,https://www.pap.fr/annonces/appartement-paris-18e-r411400263,8666.666666666666
18,2,1,45,450000,https://www.pap.fr/annonces/appartement-paris-18e-75018-r432601893,10000.0
18,3,1,84,598000,https://www.pap.fr/annonces/appartement-paris-18e-r427500350,7119.047619047619
18,2,1,32,384000,https://www.pap.fr/annonces/appartement-paris-18e-75018-r432601652,12000.0
18,3,2,55,650000,https://www.pap.fr/annonces/appartement-paris-18e-75018-r432300076,11818.181818181818
18,2,1,43,470000,https://www.pap.fr/annonces/appartement-paris-18e-75018-r432601003,10930.232558139534
18,3,2,60,580000,https://www.pap.fr/annonces/appartement-paris-18e-75018-r432601129,9666.666666666666
18,2,1,30,330000,https://www.pap.fr/annonces/appartement-paris-18e-75018-r432600435,11000.0
18,3,2,51,615000,https://www.pap.fr/annonces/appartement-paris-18e-75018-r432500916,12058.823529411764
18,2,1,33,395000,https://www.pap.fr/annonces/appartement-paris-18e-75018-r432600270,11969.69696969697
18,1,0,28,370000,https://www.pap.fr/annonces/appartement-paris-18e-75018-r432600309,13214.285714285714
18,1,0,18,230000,https://www.pap.fr/annonces/appartement-paris-18e-75018-r430301480,12777.777777777777
18,3,2,48,610000,https://www.pap.fr/annonces/appartement-paris-18e-r427700755,12708.333333333334
18,3,1,48,475000,https://www.pap.fr/annonces/appartement-paris-18e-75018-r429900146,9895.833333333334
18,1,0,19,275000,https://www.pap.fr/annonces/appartement-paris-18e-r431200763,14473.684210526315
18,3,2,75,850000,https://www.pap.fr/annonces/appartement-paris-18e-75018-r432501676,11333.333333333334
18,2,1,25,395000,https://www.pap.fr/annonces/appartement-paris-18e-75018-r430301021,15800.0
18,3,2,55,680000,https://www.pap.fr/annonces/appartement-paris-18e-75018-r432000758,12363.636363636364
18,2,1,40,415000,https://www.pap.fr/annonces/appartement-paris-18e-75018-r432500841,10375.0
18,3,2,90,1530000,https://www.pap.fr/annonces/appartement-paris-18e-75018-r432501344,17000.0
18,1,0,28,268000,https://www.pap.fr/annonces/appartement-paris-18e-r430501831,9571.42857142857
18,2,1,27,265000,https://www.pap.fr/annonces/appartement-paris-18e-75018-r432401546,9814.814814814816
18,2,1,44,455000,https://www.pap.fr/annonces/appartement-paris-18e-75018-r432401454,10340.90909090909
18,3,2,65,409000,https://www.pap.fr/annonces/appartement-paris-18e-75018-r429401744,6292.307692307692
18,2,1,45,430000,https://www.pap.fr/annonces/appartement-paris-18e-75018-r432402474,9555.555555555555
